title,price,brand,rating,normalized_specs,review,compound,label
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Value for money,0.34,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Very Good Phone in This Budget Need to Improve Camera Quality,0.7264,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Good product,0.4404,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Good value for money,0.6486,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Wonderful product....🙃I  Satisfied with this product... thanks Flipkart 😊,0.9371,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Very Nice Mobile at this price 😊Camera is also good 👍,0.8999,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Very most Phone,0.0,Neutral
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Good phone in this Range. Superb quality.....Camera 📸 good improve battery first change...,0.9153,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Good phone,0.4404,Positive
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",12999,Infinix,3.7,"{'battery_capacity': '5000 mAh', 'display_type': 'Full HD+', 'camera': '108MP + 2MP + AI Lens', 'network_type': '5G, 4G, 3G, 2G', 'ram': '8 GB', 'storage': '256 GB', 'processor_type': 'Dimensity 6300'}",Fast charging but ultra fast discharging. Don't go for it,0.0,Neutral
