price,battery_capacity,camera_mp,ram,storage,processor_type
22999,5000,63,12,256,7s Gen 2
22999,5500,63,8,256,Dimensity 7400
22999,5500,63,8,256,Dimensity 7400
24999,5500,63,12,256,Dimensity 7400
22999,5500,63,8,256,Dimensity 7400
11999,5000,52,8,128,Snapdragon 6s Gen 3
11999,5000,52,8,128,Snapdragon 6s Gen 3
12999,6000,58,8,128,Dimensity 7025
14999,6000,58,12,256,Dimensity 7025
14999,6000,58,12,256,Dimensity 7025
16999,5000,58,8,128,6s Gen 3
5999,5200,32,4,64,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz"
7799,5160,50,4,64,4s Gen 2 5G
7699,5000,32,4,64,T612
13999,6000,50,6,128,Dimensity 6400
11998,5030,108,6,128,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm)
6199,5000,8,3,64,Unisoc
6499,5000,52,4,64,Helio G85
7284,5000,50,4,64,Mediatek
